"points","transfer.spendings","transfer.receits","yellow.card","red.card","ave.unfair.score","ball.possession","capacity","total.attend","ave.attend","sold.out"
39,5150000,750000,70,2,2.53,49.02,50076,853767,50222,11
38,11500000,9e+05,70,3,2.59,48.23,50076,822102,48359,6
31,5400000,6350000,61,0,2.06,52.02,48548,742739,43691,2
31,450000,1900000,53,0,1.74,50.41,48548,719705,42336,5
47,3e+06,2e+05,58,3,2.24,47.76,20300,342350,20138,11
55,11950000,125000,70,3,2.76,49.64,30164,477414,28083,17
42,16250000,225000,64,2,2.26,51.29,30164,504728,29690,12
34,1850000,3525000,56,0,1.74,44.02,27300,345722,20337,2
28,3200000,1825000,66,2,2.41,45.26,27300,393800,23165,3
51,14600000,7420000,63,1,2.09,53.58,30210,382000,22471,15
49,11050000,4e+06,56,1,2.15,53.64,30210,456450,26850,4
59,6550000,1600000,64,1,2.21,52.88,30210,498217,29307,11
76,88200000,36150000,46,1,1.68,53.7,69000,1173000,69000,17
67,0,1.1e+07,63,1,2.18,56.7,69000,1173000,69000,17
70,74700000,22950000,44,0,1.38,57.82,69000,1173000,69000,17
40,10700000,5280000,59,1,2.32,51.47,80552,1239569,72916,2
59,13750000,12300000,48,3,2.03,50.02,80552,1270708,74748,4
57,9400000,4850000,50,0,1.47,49.32,80552,1313560,77268,5
31,11550000,670000,71,0,2.09,48.5,54057,803074,47240,5
39,10500000,8400000,48,1,1.56,46.79,54057,788993,46411,4
46,7600000,4750000,57,0,1.68,47.32,51500,822500,48382,7
33,6450000,1020000,76,3,2.68,50.38,51500,799000,47000,6
46,1250000,6e+05,62,2,2.38,50.41,51500,802500,47206,4
36,3250000,5700000,69,0,2.12,43.64,22528,279559,16445,1
30,2600000,720000,69,1,2.35,43.67,22528,284075,16710,2
64,17800000,13755000,55,1,1.85,52.64,61673,1041748,61279,12
50,15750000,6900000,60,2,2.41,56.05,61673,1044513,61442,10
65,11450000,4500000,60,0,1.85,48.44,61673,1044460,61439,12
54,11550000,8910000,53,3,2.09,52.5,57000,940491,55323,7
61,32750000,45200000,75,1,2.53,50.29,57000,932978,54881,9
52,30450000,8500000,55,3,2.06,54.02,57000,939088,55240,8
49,9600000,1030000,68,3,2.62,51.2,49000,681467,40086,4
40,6400000,3135000,58,3,2.24,49.55,49000,712616,41919,5
33,2050000,8e+05,62,0,2.09,49.17,49000,650213,38248,4
30,7e+05,0,62,0,1.82,48.38,29000,345000,20294,2
44,17100000,18800000,55,0,1.62,49.76,74244,773211,45483,1
63,6400000,2900000,62,1,1.97,47.88,74244,886808,52165,3
24,3910000,8500000,55,0,1.79,48.64,74244,793576,46681,1
43,9e+05,0,56,0,1.74,50.35,29699,490033,28825,3
29,1900000,2900000,64,0,2.06,51.88,29699,478225,28131,1
29,3900000,750000,86,3,3.15,48.23,31502,425696,25041,2
35,3150000,425000,52,0,1.53,45.44,24000,390300,22959,8
52,10600000,3700000,61,4,2.56,52.26,55896,865280,50899,7
64,9600000,13100000,69,0,2.03,50.97,55896,878892,51700,7
55,18100000,30950000,71,1,2.32,52.11,55896,695600,40918,6
41,4800000,4700000,66,0,2.03,45.7,30748,404750,23809,4
32,4450000,8000,75,3,3,45.5,30748,435425,25613,3
28,2100000,250000,67,2,2.44,43.85,30748,422308,24842,3
54,30710000,14410000,61,1,2.12,47.32,30000,414824,24401,3
69,33100000,3030000,55,1,1.85,46.05,30000,466402,27435,7
50,27300000,6900000,60,1,1.91,49.41,30000,496950,29232,10
66,25350000,23010000,69,6,3,55.82,42100,681690,40099,5
45,5150000,3400000,55,4,2.21,54.91,42100,686376,40375,8
61,1.3e+07,32375000,51,1,1.74,53.94,42100,611825,35990,11
